Previous Crop,Soil Type,Moisture Level,Nitrogen (N),Phosphorus (P),Potassium (K),Recommended Crop
Wheat,Loamy,14,119,119,572,Cotton
Maize,Saline,16,41,29,246,Rice
Soybean,Loamy,12,343,48,795,Millets
Groundnut,Sandy,31,208,124,223,Millets
Maize,Saline,32,171,115,343,Rice
Soybean,Clayey,27,372,99,596,Millets
Maize,Silt,32,203,5,488,Rice
Barley,Silt,17,393,65,609,Millets
Groundnut,Loamy,22,161,65,768,Millets
Rice,Sandy,22,368,143,657,Sorghum
Groundnut,Sandy,13,206,103,133,Millets
Cotton,Clayey,14,32,89,529,Millets
Maize,Sandy,30,53,12,618,Cotton
Cotton,Clayey,23,179,141,384,Millets
Soybean,Sandy,31,208,80,148,Millets
Rice,Saline,14,373,19,476,Sorghum
Rice,Saline,27,174,20,105,Sorghum
Maize,Clayey,28,286,53,244,Rice
Cotton,Sandy,31,216,5,203,Millets
Millets,Clayey,18,218,132,752,Millets
Wheat,Clayey,26,341,34,784,Cotton
Wheat,Loamy,15,77,41,866,Cotton
Wheat,Loamy,27,131,71,33,Cotton
Groundnut,Clayey,38,329,47,637,Millets
Soybean,Sandy,14,6,125,779,Millets
Maize,Loamy,15,143,119,236,Cotton
Barley,Saline,33,3,20,28,Millets
Barley,Silt,30,56,99,4,Millets
Maize,Silt,26,134,69,212,Rice
Cotton,Loamy,34,151,135,373,Millets
Tobacco,Silt,29,303,22,377,Millets
Barley,Saline,35,197,104,525,Millets
Rice,Silt,13,311,107,815,Sorghum
Soybean,Clayey,27,282,95,805,Millets
Rice,Saline,22,129,39,266,Sorghum
Barley,Silt,24,274,6,538,Millets
Rice,Sandy,26,50,89,49,Sorghum
Millets,Sandy,35,315,104,117,Millets
Maize,Clayey,20,165,23,148,Rice
Groundnut,Clayey,18,186,54,57,Millets
Rice,Loamy,34,4,1,320,Wheat
Groundnut,Clayey,37,124,64,329,Millets
Wheat,Clayey,37,267,132,410,Cotton
Sorghum,Clayey,34,387,79,237,Millets
Maize,Loamy,21,193,74,428,Cotton
Tobacco,Saline,15,392,61,153,Millets
Barley,Saline,10,329,43,382,Millets
Rice,Loamy,31,216,46,236,Wheat
Barley,Loamy,19,138,146,494,Millets
Wheat,Silt,38,335,4,656,Cotton
Maize,Clayey,10,124,68,438,Rice
Groundnut,Loamy,13,196,72,395,Millets
Maize,Loamy,25,113,36,601,Cotton
Millets,Saline,24,274,62,406,Millets
Maize,Saline,20,238,130,776,Rice
Barley,Sandy,34,70,14,855,Millets
Millets,Silt,12,9,36,739,Millets
Millets,Clayey,11,316,113,77,Millets
Barley,Loamy,11,20,30,796,Millets
Maize,Saline,37,225,69,730,Rice
Groundnut,Silt,37,61,50,121,Millets
Sorghum,Silt,12,315,47,431,Millets
Groundnut,Sandy,34,78,37,558,Millets
Tobacco,Saline,15,338,47,730,Millets
Maize,Clayey,29,111,59,221,Rice
Sorghum,Saline,36,234,16,149,Millets
Millets,Clayey,28,207,67,615,Millets
Cotton,Clayey,19,102,14,127,Millets
Cotton,Sandy,31,271,28,858,Millets
Soybean,Saline,21,133,79,528,Millets
Millets,Saline,37,205,110,247,Millets
Maize,Clayey,21,125,142,350,Rice
Rice,Saline,15,265,147,189,Sorghum
Cotton,Loamy,21,223,19,643,Millets
Soybean,Loamy,25,366,25,679,Millets
Soybean,Sandy,37,137,88,202,Millets
Millets,Saline,23,385,107,732,Millets
Wheat,Silt,11,179,56,272,Cotton
Cotton,Silt,10,189,85,499,Millets
Groundnut,Sandy,13,306,15,443,Millets
Barley,Sandy,35,354,134,594,Millets
Wheat,Loamy,13,381,137,839,Cotton
Tobacco,Saline,38,167,37,12,Millets
Groundnut,Saline,39,121,113,276,Millets
Groundnut,Loamy,12,290,85,34,Millets
Maize,Saline,35,101,108,2,Rice
Maize,Sandy,33,148,150,251,Cotton
Millets,Sandy,25,32,72,639,Millets
Wheat,Silt,32,48,57,425,Cotton
Maize,Clayey,18,194,53,371,Rice
Tobacco,Silt,34,93,101,576,Millets
Sorghum,Saline,20,159,58,412,Millets
Maize,Sandy,21,295,11,755,Cotton
Wheat,Clayey,38,272,56,841,Cotton
Soybean,Loamy,15,122,150,35,Millets
Rice,Silt,26,173,144,376,Sorghum
Soybean,Clayey,13,270,149,368,Millets
Soybean,Loamy,28,16,78,453,Millets
Sorghum,Loamy,34,23,74,644,Millets
Millets,Loamy,18,235,107,675,Millets
Sorghum,Clayey,22,245,97,618,Millets
Maize,Saline,31,19,22,815,Rice
Soybean,Silt,17,9,60,406,Millets
Barley,Silt,21,204,48,801,Millets
Maize,Clayey,37,221,32,539,Rice
Maize,Silt,20,194,109,313,Rice
Maize,Silt,12,316,30,675,Rice
Sorghum,Sandy,19,43,124,896,Millets
Millets,Loamy,15,185,111,608,Millets
Barley,Loamy,17,241,80,308,Millets
Millets,Loamy,24,53,64,249,Millets
Soybean,Sandy,38,350,93,872,Millets
Barley,Saline,31,198,114,586,Millets
Cotton,Silt,24,351,34,392,Millets
Groundnut,Silt,10,22,136,115,Millets
Wheat,Clayey,17,23,92,848,Cotton
Groundnut,Silt,21,185,81,492,Millets
Sorghum,Silt,36,163,123,776,Millets
Sorghum,Loamy,25,18,133,445,Millets
Tobacco,Clayey,33,151,78,431,Millets
Soybean,Silt,37,341,115,172,Millets
Groundnut,Clayey,30,83,29,128,Millets
Sorghum,Saline,25,318,34,469,Millets
Tobacco,Clayey,12,71,62,693,Millets
Maize,Clayey,32,12,143,835,Rice
Soybean,Clayey,10,356,31,478,Millets
Soybean,Silt,22,398,60,857,Millets
Barley,Saline,29,358,52,816,Millets
Groundnut,Sandy,19,36,105,14,Millets
Tobacco,Silt,39,126,71,766,Millets
Maize,Saline,13,79,81,127,Rice
Millets,Saline,30,315,7,841,Millets
Barley,Clayey,29,232,39,823,Millets
Barley,Clayey,10,30,96,609,Millets
Cotton,Saline,18,23,3,94,Millets
Maize,Saline,11,292,129,701,Rice
Rice,Clayey,37,224,81,177,Wheat
Wheat,Sandy,19,56,106,656,Soybean
Barley,Loamy,35,173,146,559,Millets
Maize,Loamy,29,359,128,156,Cotton
Tobacco,Sandy,28,196,20,613,Millets
Maize,Loamy,29,132,7,518,Cotton
Sorghum,Saline,22,150,103,783,Millets
Rice,Loamy,25,38,51,895,Wheat
Soybean,Saline,40,218,72,427,Millets
Maize,Silt,12,235,91,611,Rice
Sorghum,Clayey,30,268,34,581,Millets
Maize,Clayey,20,307,83,449,Rice
Sorghum,Silt,25,290,6,132,Millets
Cotton,Silt,33,386,0,594,Millets
Maize,Clayey,34,182,145,232,Rice
Groundnut,Silt,14,96,123,186,Millets
Soybean,Clayey,28,110,27,721,Millets
Barley,Saline,16,295,59,151,Millets
Rice,Saline,39,162,42,42,Sorghum
Groundnut,Loamy,27,0,19,739,Millets
Maize,Silt,19,289,53,612,Rice
Wheat,Loamy,25,216,6,809,Cotton
Groundnut,Loamy,19,260,86,414,Millets
Millets,Clayey,40,392,115,638,Millets
Sorghum,Sandy,16,215,39,243,Millets
Cotton,Sandy,21,306,91,620,Millets
Tobacco,Silt,11,9,146,298,Millets
Wheat,Sandy,26,87,122,379,Soybean
Maize,Loamy,33,352,41,634,Cotton
Rice,Loamy,25,42,148,21,Wheat
Rice,Sandy,27,174,59,568,Sorghum
Sorghum,Saline,28,114,53,92,Millets
Barley,Clayey,36,90,0,14,Millets
Wheat,Sandy,12,309,76,800,Soybean
Millets,Saline,34,165,105,193,Millets
Millets,Sandy,37,370,67,365,Millets
Sorghum,Clayey,21,309,58,444,Millets
Groundnut,Loamy,37,229,103,798,Millets
Soybean,Saline,27,147,92,865,Millets
Wheat,Sandy,23,45,106,395,Soybean
Sorghum,Silt,12,204,142,612,Millets
Wheat,Clayey,14,48,77,599,Cotton
Cotton,Silt,37,59,23,454,Millets
Barley,Saline,14,358,21,747,Millets
Millets,Sandy,23,236,72,397,Millets
Maize,Loamy,36,360,64,492,Cotton
Tobacco,Saline,18,248,137,753,Millets
Barley,Clayey,17,312,144,677,Millets
Barley,Silt,11,205,59,443,Millets
Tobacco,Sandy,14,31,30,440,Millets
Soybean,Silt,29,27,68,767,Millets
Tobacco,Clayey,14,14,137,313,Millets
Groundnut,Clayey,26,234,91,378,Millets
Millets,Loamy,16,57,24,591,Millets
Millets,Loamy,11,317,131,889,Millets
Wheat,Silt,11,225,88,345,Cotton
Wheat,Saline,25,335,128,509,Cotton
Sorghum,Loamy,28,135,137,548,Millets
Soybean,Saline,18,34,21,846,Millets
Millets,Saline,23,101,55,345,Millets
Barley,Loamy,28,260,85,861,Millets
Barley,Loamy,26,211,56,125,Millets
Barley,Sandy,34,201,136,552,Millets
Soybean,Clayey,37,163,75,10,Millets
Cotton,Clayey,10,224,48,515,Millets
Rice,Loamy,11,231,57,516,Wheat
Tobacco,Silt,17,389,150,760,Millets
Cotton,Loamy,16,391,13,602,Millets
Barley,Sandy,39,92,45,585,Millets
Millets,Sandy,27,111,112,288,Millets
Cotton,Sandy,40,209,6,90,Millets
Cotton,Silt,36,395,10,316,Millets
Wheat,Silt,15,86,57,531,Cotton
Maize,Clayey,37,386,22,565,Rice
Rice,Saline,18,353,147,249,Sorghum
Groundnut,Loamy,11,138,52,842,Millets
Rice,Loamy,28,85,115,825,Wheat
Groundnut,Sandy,10,59,98,485,Millets
Millets,Saline,32,214,39,247,Millets
Soybean,Silt,40,116,50,809,Millets
Sorghum,Sandy,11,22,24,433,Millets
Soybean,Sandy,12,60,123,479,Millets
Soybean,Loamy,28,165,104,251,Millets
Cotton,Loamy,15,273,70,900,Millets
Rice,Silt,16,8,140,0,Sorghum
Cotton,Clayey,16,91,14,306,Millets
Rice,Sandy,25,36,92,802,Sorghum
Millets,Loamy,16,128,90,540,Millets
Rice,Clayey,10,105,130,774,Wheat
Millets,Loamy,28,260,87,680,Millets
Soybean,Sandy,33,189,84,858,Millets
Sorghum,Clayey,22,141,149,97,Millets
Cotton,Saline,33,51,68,683,Millets
Tobacco,Saline,16,60,31,519,Millets
Barley,Loamy,23,321,118,301,Millets
Rice,Silt,25,41,59,430,Sorghum
Wheat,Silt,18,193,113,550,Cotton
Wheat,Silt,25,288,18,140,Cotton
Millets,Saline,38,303,48,869,Millets
Wheat,Loamy,16,245,104,192,Cotton
Sorghum,Sandy,34,260,48,603,Millets
Barley,Clayey,20,43,99,777,Millets
Sorghum,Saline,30,33,63,515,Millets
Wheat,Clayey,40,93,136,295,Cotton
Millets,Sandy,24,149,112,152,Millets
Sorghum,Sandy,25,308,28,34,Millets
Groundnut,Silt,10,174,35,848,Millets
Tobacco,Loamy,39,2,10,199,Millets
Barley,Sandy,28,92,42,255,Millets
Barley,Saline,35,391,136,351,Millets
Rice,Sandy,34,16,30,31,Sorghum
Tobacco,Clayey,23,14,46,251,Millets
Sorghum,Clayey,35,269,104,368,Millets
Barley,Loamy,30,283,18,655,Millets
Tobacco,Saline,36,36,148,517,Millets
Barley,Silt,16,303,89,51,Millets
Maize,Sandy,31,280,62,508,Cotton
Barley,Loamy,23,371,70,192,Millets
Tobacco,Saline,14,124,57,18,Millets
Soybean,Silt,33,177,105,353,Millets
Wheat,Loamy,36,394,2,430,Cotton
Barley,Sandy,39,1,80,674,Millets
Cotton,Sandy,28,228,130,197,Millets
Maize,Clayey,29,55,145,72,Rice
Sorghum,Saline,17,151,113,524,Millets
Millets,Clayey,13,265,81,163,Millets
Millets,Sandy,22,196,132,384,Millets
Rice,Silt,25,261,56,122,Sorghum
Cotton,Silt,10,350,14,651,Millets
Wheat,Silt,36,236,121,6,Cotton
Maize,Clayey,40,295,88,305,Rice
Rice,Clayey,15,391,119,382,Wheat
Barley,Loamy,19,232,114,20,Millets
Maize,Sandy,27,26,75,409,Cotton
Rice,Clayey,36,217,40,486,Wheat
Cotton,Sandy,24,394,134,787,Millets
Cotton,Silt,37,256,126,743,Millets
Maize,Sandy,22,20,77,802,Cotton
Barley,Saline,19,0,35,298,Millets
Barley,Saline,26,45,12,658,Millets
Wheat,Clayey,20,264,0,865,Cotton
Groundnut,Loamy,13,200,40,578,Millets
Cotton,Silt,13,141,80,224,Millets
Soybean,Saline,14,246,80,872,Millets
Cotton,Silt,19,68,12,753,Millets
Soybean,Saline,26,171,128,264,Millets
Tobacco,Loamy,20,323,124,333,Millets
Wheat,Loamy,18,314,134,515,Cotton
Maize,Sandy,26,132,69,546,Cotton
Tobacco,Saline,11,322,120,424,Millets
Maize,Saline,24,236,69,232,Rice
Cotton,Saline,13,304,62,144,Millets
Wheat,Silt,20,141,16,169,Cotton
Soybean,Clayey,20,290,77,648,Millets
Maize,Silt,39,27,8,777,Rice
Sorghum,Clayey,34,17,120,872,Millets
Wheat,Sandy,34,205,18,226,Soybean
Millets,Loamy,27,181,56,416,Millets
Maize,Sandy,30,136,74,609,Cotton
Groundnut,Saline,37,231,60,102,Millets
Wheat,Sandy,36,380,10,331,Soybean
Groundnut,Silt,36,177,115,702,Millets
Groundnut,Sandy,39,223,65,157,Millets
Tobacco,Saline,37,223,80,546,Millets
Rice,Loamy,20,42,107,475,Wheat
Soybean,Saline,24,336,130,743,Millets
Sorghum,Sandy,37,230,113,344,Millets
Rice,Silt,16,138,57,627,Sorghum
Wheat,Saline,17,269,5,688,Cotton
Wheat,Clayey,35,338,108,855,Cotton
Tobacco,Sandy,23,3,106,227,Millets
Maize,Silt,33,344,49,745,Rice
Soybean,Sandy,20,378,89,486,Millets
Wheat,Clayey,20,255,39,718,Cotton
Rice,Sandy,20,206,54,857,Sorghum
Maize,Loamy,14,125,104,722,Cotton
Rice,Loamy,31,159,106,57,Wheat
Wheat,Sandy,12,367,52,782,Soybean
Soybean,Sandy,21,105,77,176,Millets
Tobacco,Clayey,32,63,78,835,Millets
Rice,Clayey,32,332,82,165,Wheat
Sorghum,Clayey,25,197,150,115,Millets
Cotton,Silt,30,211,95,868,Millets
Groundnut,Loamy,14,328,147,315,Millets
Maize,Clayey,25,95,106,605,Rice
Sorghum,Sandy,39,201,133,367,Millets
Maize,Sandy,24,194,90,897,Cotton
Maize,Clayey,24,170,108,455,Rice
Rice,Clayey,12,23,133,699,Wheat
Sorghum,Clayey,36,285,34,235,Millets
Wheat,Loamy,25,238,12,280,Cotton
Wheat,Saline,17,365,135,706,Cotton
Rice,Silt,23,348,109,837,Sorghum
Tobacco,Loamy,21,122,143,467,Millets
Wheat,Saline,11,149,9,797,Cotton
Soybean,Loamy,23,312,77,319,Millets
Soybean,Saline,21,65,113,481,Millets
Tobacco,Clayey,15,202,99,293,Millets
Maize,Loamy,22,234,43,574,Cotton
Tobacco,Silt,31,350,133,400,Millets
Maize,Loamy,38,150,116,768,Cotton
Tobacco,Saline,13,264,58,198,Millets
Groundnut,Loamy,29,71,139,326,Millets
Sorghum,Loamy,24,111,45,736,Millets
Rice,Loamy,25,228,66,788,Wheat
Groundnut,Saline,30,17,71,814,Millets
Wheat,Sandy,39,304,19,70,Soybean
Rice,Sandy,16,313,115,185,Sorghum
Wheat,Sandy,30,173,3,572,Soybean
Rice,Loamy,35,343,27,391,Wheat
Maize,Silt,12,1,8,766,Rice
Barley,Clayey,10,214,90,882,Millets
Cotton,Saline,35,197,25,536,Millets
Cotton,Loamy,23,388,88,796,Millets
Wheat,Clayey,12,324,74,683,Cotton
Sorghum,Loamy,27,199,62,789,Millets
Cotton,Loamy,15,89,32,290,Millets
Cotton,Silt,27,290,46,505,Millets
Sorghum,Saline,39,26,149,886,Millets
Soybean,Loamy,15,281,90,733,Millets
Maize,Clayey,39,374,100,583,Rice
Rice,Clayey,36,135,109,468,Wheat
Rice,Sandy,32,88,57,177,Sorghum
Tobacco,Silt,11,144,88,795,Millets
Tobacco,Saline,16,88,4,607,Millets
Barley,Sandy,26,272,0,582,Millets
Tobacco,Saline,35,249,41,807,Millets
Millets,Sandy,37,390,9,628,Millets
Rice,Loamy,13,250,61,42,Wheat
Wheat,Saline,17,240,81,676,Cotton
Rice,Sandy,16,31,6,887,Sorghum
Cotton,Sandy,40,47,20,663,Millets
Wheat,Clayey,23,154,73,250,Cotton
Barley,Clayey,22,234,141,230,Millets
Wheat,Sandy,12,337,126,193,Soybean
Groundnut,Clayey,35,30,85,380,Millets
Tobacco,Clayey,29,42,97,565,Millets
Groundnut,Clayey,10,351,37,1,Millets
Tobacco,Loamy,16,367,40,60,Millets
Millets,Loamy,17,12,62,298,Millets
Maize,Silt,18,36,29,508,Rice
Millets,Loamy,20,285,57,126,Millets
Wheat,Sandy,37,273,26,851,Soybean
Sorghum,Loamy,36,249,84,298,Millets
Groundnut,Sandy,32,229,15,580,Millets
Maize,Clayey,34,43,88,793,Rice
Wheat,Silt,13,149,85,679,Cotton
Wheat,Saline,27,332,100,116,Cotton
Millets,Saline,34,278,114,781,Millets
Millets,Clayey,33,10,68,675,Millets
Soybean,Sandy,11,323,123,597,Millets
Groundnut,Saline,18,23,0,66,Millets
Groundnut,Sandy,17,332,45,12,Millets
Cotton,Silt,39,178,75,174,Millets
Soybean,Silt,18,380,1,136,Millets
Soybean,Loamy,13,225,36,737,Millets
Sorghum,Loamy,22,94,98,720,Millets
Barley,Sandy,30,179,91,248,Millets
Rice,Sandy,16,112,107,26,Sorghum
Groundnut,Silt,25,260,23,852,Millets
Millets,Sandy,11,325,120,300,Millets
Rice,Silt,26,326,44,143,Sorghum
Sorghum,Loamy,24,271,70,858,Millets
Cotton,Loamy,16,24,98,280,Millets
Soybean,Loamy,28,147,68,204,Millets
Tobacco,Sandy,11,16,62,166,Millets
Sorghum,Loamy,10,193,103,827,Millets
Barley,Loamy,26,357,128,290,Millets
Sorghum,Sandy,18,367,46,417,Millets
Maize,Loamy,11,224,33,30,Cotton
Millets,Loamy,37,6,22,596,Millets
Sorghum,Silt,23,148,67,817,Millets
Cotton,Sandy,19,22,79,422,Millets
Groundnut,Silt,14,347,11,327,Millets
Wheat,Silt,21,174,40,865,Cotton
Sorghum,Loamy,22,309,95,617,Millets
Tobacco,Sandy,11,67,95,678,Millets
Soybean,Sandy,39,160,3,700,Millets
Soybean,Clayey,28,31,109,110,Millets
Tobacco,Silt,26,76,40,122,Millets
Maize,Saline,38,235,60,72,Rice
Wheat,Sandy,40,366,124,194,Soybean
Soybean,Loamy,25,193,121,179,Millets
Cotton,Sandy,16,58,111,565,Millets
Tobacco,Clayey,13,141,102,489,Millets
Millets,Loamy,34,212,16,543,Millets
Soybean,Saline,16,73,32,438,Millets
Millets,Sandy,34,288,69,98,Millets
Soybean,Silt,28,342,98,16,Millets
Millets,Saline,12,100,130,285,Millets
Wheat,Loamy,23,138,67,666,Cotton
Cotton,Sandy,19,328,94,112,Millets
Millets,Silt,19,399,81,565,Millets
Sorghum,Clayey,23,204,102,62,Millets
Tobacco,Loamy,14,59,57,153,Millets
Wheat,Clayey,34,21,78,139,Cotton
Rice,Saline,15,234,14,645,Sorghum
Groundnut,Silt,37,197,26,240,Millets
Sorghum,Clayey,17,342,144,445,Millets
Tobacco,Silt,13,357,56,824,Millets
Soybean,Clayey,32,354,29,766,Millets
Millets,Clayey,11,353,61,197,Millets
Tobacco,Sandy,13,204,52,248,Millets
Soybean,Silt,34,178,119,335,Millets
Rice,Clayey,35,267,30,641,Wheat
Barley,Loamy,40,252,107,558,Millets
Rice,Silt,20,12,128,246,Sorghum
Groundnut,Clayey,28,342,69,81,Millets
Groundnut,Saline,12,224,122,712,Millets
Sorghum,Silt,19,350,45,656,Millets
Cotton,Clayey,12,239,148,767,Millets
Rice,Sandy,15,289,42,564,Sorghum
Tobacco,Loamy,30,62,120,892,Millets
Sorghum,Sandy,26,367,126,544,Millets
Maize,Clayey,18,273,56,154,Rice
Sorghum,Saline,38,60,138,649,Millets
Millets,Loamy,24,204,4,161,Millets
Wheat,Loamy,35,293,79,325,Cotton
Cotton,Clayey,34,391,11,133,Millets
Rice,Silt,14,185,112,413,Sorghum
Millets,Silt,31,366,62,66,Millets
Sorghum,Silt,37,61,64,127,Millets
Maize,Silt,17,256,130,891,Rice
Sorghum,Clayey,20,132,12,335,Millets
Cotton,Silt,10,321,85,434,Millets
Sorghum,Saline,29,386,114,222,Millets
Wheat,Clayey,22,25,9,135,Cotton
Wheat,Silt,38,153,82,652,Cotton
Cotton,Sandy,28,290,81,64,Millets
Millets,Sandy,27,13,51,91,Millets
Groundnut,Saline,38,175,88,819,Millets
Tobacco,Sandy,33,6,90,847,Millets
Maize,Sandy,31,195,33,269,Cotton
Sorghum,Loamy,16,273,93,41,Millets
Cotton,Silt,18,344,145,701,Millets
Sorghum,Clayey,24,257,98,51,Millets
Millets,Clayey,24,70,47,187,Millets
Rice,Clayey,31,203,50,690,Wheat
Tobacco,Saline,25,393,88,877,Millets
Barley,Loamy,33,110,93,677,Millets
Soybean,Clayey,38,277,77,811,Millets
Cotton,Clayey,35,214,95,320,Millets
Soybean,Clayey,37,11,86,588,Millets
Cotton,Silt,37,223,146,561,Millets
Barley,Silt,28,5,144,312,Millets
Rice,Loamy,18,87,66,20,Wheat
Barley,Saline,37,208,103,697,Millets
Millets,Sandy,24,358,82,530,Millets
Millets,Sandy,19,62,81,827,Millets
Barley,Clayey,22,221,136,772,Millets
Rice,Sandy,24,86,110,239,Sorghum
Tobacco,Saline,39,64,72,631,Millets
Tobacco,Silt,34,325,76,877,Millets
Barley,Saline,38,90,8,638,Millets
Millets,Loamy,29,18,78,403,Millets
Maize,Saline,35,252,133,218,Rice
Millets,Saline,25,280,27,66,Millets
Tobacco,Saline,30,172,128,118,Millets
Millets,Sandy,31,35,24,380,Millets
Barley,Silt,31,91,146,158,Millets
Cotton,Clayey,31,205,5,653,Millets
Groundnut,Loamy,18,375,118,206,Millets
Rice,Loamy,12,89,56,264,Wheat
Millets,Clayey,22,389,4,622,Millets
Rice,Sandy,40,38,112,831,Sorghum
Barley,Sandy,34,142,21,812,Millets
Barley,Clayey,13,316,119,665,Millets
Wheat,Silt,20,379,11,684,Cotton
Cotton,Sandy,36,113,54,898,Millets
Tobacco,Silt,14,391,144,167,Millets
Cotton,Saline,26,16,65,513,Millets
Maize,Loamy,36,199,93,407,Cotton
Groundnut,Clayey,40,327,21,106,Millets
Rice,Silt,34,195,89,559,Sorghum
Tobacco,Saline,39,157,126,579,Millets
Millets,Silt,21,184,136,682,Millets
Maize,Silt,19,73,148,232,Rice
Soybean,Silt,34,317,121,778,Millets
Millets,Clayey,31,62,143,36,Millets
Millets,Saline,27,365,62,865,Millets
Maize,Saline,26,290,88,518,Rice
Millets,Saline,36,169,7,222,Millets
Maize,Sandy,32,88,3,894,Cotton
Barley,Loamy,37,230,143,651,Millets
Millets,Sandy,27,83,57,323,Millets
Maize,Saline,35,165,118,536,Rice
Soybean,Clayey,24,385,36,263,Millets
Barley,Silt,33,117,136,489,Millets
Rice,Silt,14,330,1,368,Sorghum
Sorghum,Sandy,23,146,50,585,Millets
Sorghum,Silt,18,219,62,404,Millets
Maize,Silt,19,339,79,339,Rice
Maize,Sandy,36,79,81,378,Cotton
Millets,Saline,34,284,150,768,Millets
Maize,Sandy,28,378,78,596,Cotton
Rice,Silt,38,392,89,343,Sorghum
Barley,Clayey,38,395,71,250,Millets
Soybean,Saline,19,9,125,31,Millets
Maize,Loamy,20,326,29,725,Cotton
Maize,Sandy,36,13,126,217,Cotton
Wheat,Saline,13,390,96,846,Cotton
Cotton,Loamy,24,121,67,10,Millets
Groundnut,Sandy,32,319,52,423,Millets
Rice,Sandy,35,75,104,829,Sorghum
Millets,Saline,40,337,25,560,Millets
Millets,Silt,25,120,82,278,Millets
Rice,Silt,24,86,16,283,Sorghum
Soybean,Sandy,36,331,108,886,Millets
Sorghum,Loamy,29,224,38,116,Millets
Millets,Loamy,31,135,5,178,Millets
Rice,Saline,30,113,25,812,Sorghum
Maize,Sandy,21,47,120,383,Cotton
Barley,Sandy,21,304,75,269,Millets
Tobacco,Silt,17,118,83,634,Millets
Cotton,Sandy,32,302,129,731,Millets
Maize,Saline,22,327,28,199,Rice
Cotton,Silt,36,142,90,89,Millets
Millets,Loamy,10,333,133,161,Millets
Rice,Saline,16,376,77,539,Sorghum
Maize,Loamy,31,353,10,406,Cotton
Barley,Saline,30,263,100,383,Millets
Soybean,Sandy,12,246,31,210,Millets
Cotton,Silt,33,306,99,86,Millets
Tobacco,Clayey,25,86,114,195,Millets
Rice,Silt,17,333,72,165,Sorghum
Wheat,Silt,24,54,11,166,Cotton
Tobacco,Silt,37,206,18,81,Millets
Tobacco,Saline,30,124,54,269,Millets
Cotton,Silt,23,7,42,105,Millets
Soybean,Clayey,30,145,123,182,Millets
Rice,Sandy,29,269,128,180,Sorghum
Wheat,Sandy,31,324,133,524,Soybean
Rice,Sandy,29,114,93,143,Sorghum
Rice,Loamy,10,93,28,114,Wheat
Wheat,Saline,17,394,36,523,Cotton
Rice,Clayey,13,186,101,356,Wheat
Cotton,Loamy,20,231,98,725,Millets
Tobacco,Sandy,20,185,66,597,Millets
Groundnut,Sandy,14,212,21,181,Millets
Millets,Clayey,28,144,13,762,Millets
Rice,Silt,39,232,10,186,Sorghum
Barley,Loamy,35,91,99,281,Millets
Rice,Sandy,14,159,68,510,Sorghum
Groundnut,Saline,31,284,13,278,Millets
Maize,Sandy,12,347,23,309,Cotton
Maize,Loamy,20,12,55,278,Cotton
Maize,Sandy,15,249,148,493,Cotton
Barley,Sandy,27,377,19,658,Millets
Barley,Silt,25,94,143,277,Millets
Sorghum,Loamy,38,393,140,128,Millets
Maize,Sandy,39,171,109,96,Cotton
Maize,Silt,23,44,94,508,Rice
Groundnut,Loamy,24,376,101,824,Millets
Tobacco,Clayey,22,386,45,442,Millets
Groundnut,Sandy,24,130,127,275,Millets
Sorghum,Loamy,21,346,83,780,Millets
Cotton,Saline,34,312,49,19,Millets
Millets,Sandy,15,366,120,682,Millets
Rice,Silt,32,269,10,146,Sorghum
Groundnut,Loamy,38,306,66,169,Millets
Barley,Saline,30,339,145,819,Millets
Rice,Clayey,19,375,63,482,Wheat
Cotton,Loamy,22,259,31,508,Millets
Groundnut,Sandy,31,301,21,516,Millets
Wheat,Loamy,19,7,65,403,Cotton
Barley,Sandy,14,318,58,773,Millets
Groundnut,Clayey,37,129,11,248,Millets
Sorghum,Sandy,21,231,121,387,Millets
Cotton,Clayey,14,10,125,80,Millets
Tobacco,Saline,33,66,51,573,Millets
Soybean,Saline,12,17,117,200,Millets
Cotton,Loamy,14,349,57,792,Millets
Barley,Loamy,40,73,127,845,Millets
Maize,Loamy,24,202,47,326,Cotton
Sorghum,Saline,37,49,47,856,Millets
Rice,Loamy,28,139,47,485,Wheat
Tobacco,Loamy,28,293,29,807,Millets
Wheat,Sandy,34,376,40,609,Soybean
Maize,Sandy,24,385,79,20,Cotton
Groundnut,Silt,39,39,56,450,Millets
Cotton,Clayey,15,54,42,749,Millets
Cotton,Silt,35,391,40,805,Millets
Cotton,Silt,14,251,97,706,Millets
Rice,Loamy,38,10,20,73,Wheat
Sorghum,Loamy,27,57,139,20,Millets
Cotton,Loamy,20,265,73,370,Millets
Tobacco,Saline,32,135,78,29,Millets
Millets,Loamy,27,109,26,823,Millets
Tobacco,Silt,22,67,70,606,Millets
Maize,Clayey,32,263,58,866,Rice
Barley,Saline,10,56,128,23,Millets
Cotton,Clayey,10,77,76,371,Millets
Soybean,Sandy,38,57,1,510,Millets
Barley,Silt,16,15,27,202,Millets
Soybean,Sandy,33,232,1,94,Millets
Rice,Sandy,27,69,38,580,Sorghum
Rice,Sandy,33,310,44,124,Sorghum
Wheat,Clayey,21,155,120,268,Cotton
Groundnut,Loamy,11,100,118,530,Millets
Rice,Saline,10,357,134,827,Sorghum
Millets,Loamy,27,74,131,152,Millets
Cotton,Sandy,10,393,91,483,Millets
Wheat,Loamy,16,356,31,28,Cotton
Tobacco,Loamy,17,378,77,686,Millets
